v,phi,ec,hc-1,hc-2,hc-3,hc-4,hc-5,hc-6,hc-7,hc-8,hc-9,hc-10,hc-11,hc-12,hc-13,hc-14,hc-15,hc-16,hc-17,hc-18,hc-19,hc-20,hc-21,hc-22,hc-23,hc-24,hc-25
200,20,0.0175957,300,11.7876,27.1492,0.00600446,30.436,300,300,300,0.111588,54.5189,300,300,0.0280805,300,300,83.3504,300,300,300,300,300,300,54.474,300,300
200,30,0.0250204,300,0.0499617,0.276354,300,0.114574,10.1148,0.116323,20.7627,0.0660187,2.10291,0.00410467,3.17319,12.3301,2.21111,0.0816556,300,300,54.4703,0.0223451,0.0448444,5.59096,0.0217331,0.301329,0.0295995,300
200,40,0.0334627,0.00716556,0.174581,0.14608,0.00694074,0.0047584,0.157067,0.386321,0.00657777,300,0.00550682,0.0301877,0.022526,27.9767,0.00569601,0.0487125,0.0047818,0.0112868,0.0218235,0.129323,0.00575529,0.0274688,0.0342786,0.14915,0.041357,5.30398
200,60,0.0507474,0.00727241,0.00781775,0.107643,0.0347078,0.00809089,300,0.00719684,0.00698945,0.00731841,0.00702537,0.00955048,0.0078826,0.00733933,0.00808429,0.00696274,0.0070765,0.0069855,0.0102353,0.0087468,0.0178605,0.00724457,0.00890724,0.00699287,0.00695251,0.00795383
200,80,0.0664871,0.0091635,0.00916559,0.00916367,0.0103493,0.00918796,0.00918702,0.00915203,0.011841,0.00931737,0.00964681,0.00920927,0.00964203,0.0099841,0.00915224,0.00924645,0.00948156,0.00917663,0.00950875,0.00922765,0.0093082,0.00923066,0.00924753,0.00920184,0.00991635,0.00953108
200,95,0.078849,0.0109082,0.0108803,0.0108722,0.0108327,0.0108843,0.0108342,0.0107893,0.0108324,0.0109578,0.0108708,0.0108145,0.0108972,0.01089,0.0108335,0.0108887,0.0108244,0.0112351,0.0111238,0.0108913,0.010818,0.0108506,0.0108715,0.0107555,0.0107879,0.01224
400,20,0.129783,300,300,300,51.3073,300,300,2.33338,37.9182,213.473,300,0.188466,300,12.1909,300,300,300,300,300,300,300,300,300,38.3143,300,300
400,30,0.194721,0.0316275,0.522205,1.6012,0.831696,0.183705,0.0265553,93.9604,0.42326,0.0448633,0.0426965,0.191196,2.12108,1.42771,0.199425,300,1.75063,300,0.159416,0.727478,0.298767,127.432,0.0280468,0.0381433,0.0281387,300
400,40,0.260784,0.0472086,0.0632017,0.0549357,0.0584301,0.147245,0.348596,0.652811,0.0517768,0.034713,0.0334981,3.72604,129.696,0.0471625,4.86836,0.120326,68.0911,0.0333863,0.140057,300,0.0436431,0.0537207,46.3342,300,0.0333574,98.2223
400,60,0.390753,0.0507893,0.0504203,0.0640254,0.05075,0.0823968,0.0497512,0.0555758,0.0495858,0.108958,0.0558389,0.0565492,0.0496696,0.0532408,0.049541,0.0597259,0.0498597,1.16584,0.0519327,0.0497672,0.0524699,0.0530093,0.049649,0.0496095,0.0507663,0.0604049
400,80,0.51978,0.06579,0.0658587,0.0670398,0.0657425,0.0658671,0.065723,0.0668219,0.0685384,0.0658331,0.0656951,0.0657881,0.0657864,0.068845,0.0670794,0.0658284,0.0656197,0.0699041,0.0655278,0.0672352,0.0655735,0.0657044,0.0656377,0.0667643,0.0654866,0.0656673
400,95,0.616562,0.0777563,0.0776863,0.0775353,0.0776971,0.0776423,0.0787527,0.0775939,0.0777904,0.0776363,0.0776031,0.0776566,0.077589,0.0776526,0.0777011,0.0777581,0.0776941,0.0820318,0.0776843,0.0777212,0.0776892,0.0776222,0.0775865,0.077626,0.080803,0.0776481
600,20,0.434754,300,300,87.1454,300,300,7.69361,6.92434,300,300,1.85187,300,300,300,300,300,300,300,300,300,300,300,300,10.5018,300,3.53253
600,30,0.652126,0.11435,300,4.51115,1.42864,300,300,45.9798,300,0.777463,300,300,11.102,102.019,180.427,0.418224,2.44808,5.52482,300,300,4.07305,300,0.092636,230.653,4.50183,122.858
600,40,0.87597,1.21518,0.338743,0.109176,0.422696,0.285947,0.198061,0.11006,0.109283,0.39912,0.107981,2.987,0.786386,0.979402,0.17318,2.30266,7.9584,0.143855,158.008,0.237825,0.108082,0.116367,0.116706,0.113377,0.2883,0.113707
600,60,1.30591,0.163217,0.160506,0.160201,0.162033,0.173678,0.312192,0.160611,0.16045,0.159733,0.160526,0.177039,0.424501,0.164878,0.161412,0.344214,0.167251,0.21593,0.189164,0.236309,0.159938,0.160476,0.166653,0.196525,0.182129,0.162984
600,80,1.74148,0.21248,0.22871,0.214296,0.215621,0.216594,0.212507,0.229913,0.225796,0.226171,0.211946,0.219647,0.212641,0.215575,0.212446,0.212062,0.212452,0.212288,0.232856,0.212408,0.221985,0.212215,0.212428,0.212595,0.212303,0.215342
600,95,2.06556,0.251184,0.251277,0.251296,0.254864,0.251243,0.25134,0.251458,0.251485,0.251389,0.25127,0.25107,0.251194,0.251462,0.251151,0.251307,0.251093,0.251168,0.252903,0.251067,0.251118,0.251192,0.254931,0.251232,0.251053,0.253879
800,20,1.0272,300,300,300,16.0563,300,300,51.5342,300,5.36306,300,3.26374,300,300,230.899,300,3.29181,300,300,11.9728,83.4414,300,0.25625,300,300,300
800,30,1.53959,300,38.1317,44.7137,0.188904,0.692042,300,300,0.364644,0.773346,5.931,0.251789,4.40425,300,300,300,6.2397,300,0.36156,0.187781,35.941,300,1.63555,0.190924,300,0.193976
800,40,2.05174,300,300,0.506132,1.63889,1.84122,300,9.90964,0.637927,0.804223,0.313976,0.265143,0.290961,10.2337,0.360275,62.9364,0.249066,1.39916,0.431707,0.249397,0.348046,0.251086,6.37505,0.768215,0.721341,1.15945
800,60,3.08036,0.384659,0.371732,0.45081,0.418398,0.379691,11.5603,0.371623,0.371841,0.386077,0.531484,0.397032,0.404287,0.388699,0.371368,1.48817,0.371256,0.37606,0.456377,0.418678,0.374713,0.375709,1.99112,300,0.371249,1.58916
800,80,4.10856,0.4926,0.492509,0.491871,0.492308,0.498173,0.503091,0.492964,0.497672,0.49241,0.491883,0.492774,0.496098,0.503836,0.49814,0.492496,0.492534,0.49282,0.496248,0.491966,0.492758,0.493086,0.492231,0.492356,0.492817,0.495936
800,95,4.87684,0.583261,0.583102,0.582907,0.582949,0.583496,0.583134,0.583311,0.583304,0.58302,0.583067,0.582991,0.583145,0.582835,0.582962,0.583277,0.58266,0.583222,0.582975,0.587136,0.583439,0.583015,0.583039,0.583198,0.58304,0.58328
1000,20,2.00044,300,300,300,278,300,300,300,16.5982,4.48431,300,300,300,300,48.8518,300,300,300,300,200.97,300,189.132,300,20.3173,1.49736,300
1000,30,3.00074,43.906,0.983142,0.921634,6.96098,300,0.837045,300,2.43017,0.985453,20.208,300,212.21,0.414227,1.65336,3.9835,12.9934,0.500764,300,0.556053,0.381368,4.76068,0.532967,1.40133,1.20247,8.42505
1000,40,4.00023,2.34639,0.486609,3.867,111.631,0.514627,3.77973,45.7329,2.83278,2.22306,1.27857,0.743137,0.797426,23.2947,0.75741,0.557263,0.557704,92.7736,59.297,0.48299,0.567777,0.508224,0.961809,0.510294,0.480769,0.479414
1000,60,6.00241,0.785928,0.715574,0.725672,0.884897,0.716605,0.722383,0.716189,0.72283,0.715841,0.747797,0.720567,0.738799,2.20279,0.716608,0.716012,0.715659,1.40051,0.731336,0.787854,0.71613,0.716891,0.720891,0.791481,1.08746,0.716499
1000,80,8.01374,0.967767,0.950702,0.961531,0.950483,0.959625,0.950135,0.950229,0.950537,0.970427,0.958779,0.956722,0.967261,0.950595,0.949882,0.959154,0.958318,0.950221,0.956854,1.00606,0.961782,0.958821,0.958289,0.958665,0.950367,0.987193
1000,95,9.51218,1.12577,1.12482,1.12592,1.13543,1.12489,1.1253,1.12514,1.12565,1.12579,1.12558,1.12536,1.12505,1.12583,1.12546,1.12479,1.12513,1.12511,1.12577,1.12508,1.12538,1.13552,1.13175,1.12575,1.1256,1.12541
